"idmaterial","u_medida","f_aprov","leadtime","precio","abc","tipo","especificacion","idproducto","estado","detalle","caracteristica","stock","codigo"
216,"","",0,0,"","O",0,0,"fin","TUERCA PERNO ROTOR 975",85,0,"O00000085001"
217,"","",0,0,"","O",0,0,"fin","SERVICIO QUEMA PRODUCOS DERCOMISO",99,0,"O00000099001"
218,"","",0,0,"","O",0,0,"fin","SCR IP147-1133 (REP HORNO INDUCCION)",99,0,"O00000099002"
219,"","",0,0,"","O",0,0,"fin","JGO. DESCANSO PULVOMATIC 765",41,0,"O00010241001"
220,"","",0,0,"","O",0,0,"fin","JGO. DE RODAMIENTO 975",41,0,"O00020841001"
221,"","",0,0,"","O",1,0,"fin","MACHON PRINCIPAL MOD. 765",51,0,"O01000051001"
222,"","",0,0,"","O",2,0,"fin","PERNO MOLINO M20, PASO 2,5 X 80 GRADO 8,8",57,0,"O02000057001"
223,"","",0,0,"","O",2,0,"fin","PERNO MOLINO 3/4 X 80 MM G8.8, GOLILLA PRESION, GOLILLA PLANA Y TUERCA",57,0,"O02000057002"
224,"","",0,0,"","O",6,0,"fin","TRANSPORTE PIEZAS MEL",99,0,"O06000000001"
225,"","",0,0,"","O",6,0,"fin","FUNDICION METALES CONTRATO 3187",99,0,"O06000099001"
226,"","",0,0,"","P",0,1252,"fin","ACOPLAMIENTO",1,0,"P00000001001"
227,"","",0,0,"","P",0,1253,"fin","ACOPLAMIENTO ROTOR MOD. 765",1,0,"P00000001002"
230,"","",0,0,"","P",0,1256,"fin","FLANGE LABERINTO C-1-1321",99,0,"P00120099001"
231,"","",0,0,"","P",0,1257,"fin","FLANGE LABERINTO C-1-1322",99,0,"P00120099002"
232,"","",0,0,"","P",0,1258,"fin","RUEDA PUENTE GRUA PL D-2-88",71,0,"P00150071001"
233,"","",0,0,"","P",0,1259,"fin","BLOCK ALUMINA T95% 40X40X40",94,0,"P00170094001"
234,"","",0,0,"","P",0,1260,"fin","BLOCK ALUMINA T95% 40X40X20",94,0,"P00170094002"
235,"","",0,0,"","P",0,1261,"fin","CYLINDERALUMINA 92% 31X31",95,0,"P00170095001"
236,"","",0,0,"","P",0,1262,"fin","CYLINDERALUMINA  T95%  31X31",95,0,"P00170095002"
237,"","",0,0,"","P",0,1263,"fin","CYLINDERALUMINA 92% 21X21",95,0,"P00170095003"
238,"","",0,0,"","P",0,1264,"fin","CYLINDERALUMINA  T95%  21X21",95,0,"P00170095004"
1870,"","",0,0,"","P",2,1265,"fin","BOTTON PLATE",11,0,"P02000011002"
1871,"","",0,0,"","P",2,1266,"fin","PLOMO PARA MEDICION SETTING COD. 715839",63,0,"P02000063001"
1872,"","",0,0,"","P",2,1267,"fin","PLOMO PARA MEDICION SETTING COD. 715847",63,0,"P02000063002"
1882,"","",0,0,"","P",2,1277,"fin","JUEGO DE PLACAS DE DESGASTE SEGÚN PLANO CLS2-679-1310-03-DW R0 (PLACAS DE P01 A P206)",99,0,"P02020899010"
1887,"","",0,0,"","P",2,1282,"fin","CLAMP 57 C/NERVIO",99,0,"P02031899001"
1888,"","",0,0,"","P",2,1283,"fin","CLAMP 57 S/NERVIO",99,0,"P02031899002"
1889,"","",0,0,"","P",2,1284,"fin","CLAMP 63 S/NERVIO",99,0,"P02031899003"
1892,"","",0,0,"","P",2,1287,"fin","CORONA P&H  30054919",22,0,"P02043722001"
1894,"","",0,0,"","P",2,1289,"fin","PLACA DE DESGASTE CG-01  (PROY 16)",90,0,"P02100090001"
1895,"","",0,0,"","P",2,1290,"fin","PLACA DE DESGASTE CG-02  (PROY 16)",90,0,"P02100090002"
1896,"","",0,0,"","P",2,1291,"fin","PLACA DE DESGASTE CG-03  (PROY 16)",90,0,"P02100090003"
1897,"","",0,0,"","P",2,1292,"fin","PLACA DE DESGASTE CG-04  (PROY 16)",90,0,"P02100090004"
1898,"","",0,0,"","P",2,1293,"fin","PLACA DE DESGASTE CG-07  (PROY 16)",90,0,"P02100090005"
1899,"","",0,0,"","P",2,1294,"fin","PLACA DE DESGASTE CG-08  (PROY 16)",90,0,"P02100090006"
1900,"","",0,0,"","P",2,1295,"fin","PLACA DE DESGASTE CG-09  (PROY 16)",90,0,"P02100090007"
1901,"","",0,0,"","P",2,1296,"fin","PLACA DE DESGASTE CG-11  (PROY 16)",90,0,"P02100090008"
1902,"","",0,0,"","P",2,1297,"fin","PLACA DE DESGASTE CG-12  (PROY 16)",90,0,"P02100090009"
1903,"","",0,0,"","P",2,1298,"fin","PLACA DE DESGASTE CG-13  (PROY 16)",90,0,"P02100090010"
1904,"","",0,0,"","P",2,1299,"fin","PLACA DE DESGASTE CG-14  (PROY 16)",90,0,"P02100090011"
1905,"","",0,0,"","P",2,1300,"fin","PLACA DE DESGASTE CG-15  (PROY 16)",90,0,"P02100090012"
1906,"","",0,0,"","P",2,1301,"fin","PLACA DE DESGASTE CG-16  (PROY 16)",90,0,"P02100090013"
1907,"","",0,0,"","P",2,1302,"fin","PLACA DE DESGASTE CG-17  (PROY 16)",90,0,"P02100090014"
1908,"","",0,0,"","P",2,1303,"fin","PLACA DE DESGASTE CG-18  (PROY 16)",90,0,"P02100090015"
1909,"","",0,0,"","P",2,1304,"fin","PLACA DE DESGASTE CG-19  (PROY 16)",90,0,"P02100090016"
1910,"","",0,0,"","P",2,1305,"fin","PLACA DE DESGASTE CG-20  (PROY 16)",90,0,"P02100090017"
1911,"","",0,0,"","P",2,1306,"fin","PLACA DE DESGASTE CG-21  (PROY 16)",90,0,"P02100090018"
1912,"","",0,0,"","P",2,1307,"fin","PLACA DE DESGASTE CG-22  (PROY 16)",90,0,"P02100090019"
1913,"","",0,0,"","P",2,1308,"fin","PLACA DE DESGASTE CG-23  (PROY 16)",90,0,"P02100090020"
1914,"","",0,0,"","P",2,1309,"fin","PLACA DE DESGASTE CG-24  (PROY 16)",90,0,"P02100090021"
1915,"","",0,0,"","P",2,1310,"fin","PLACA DE DESGASTE CG-25  (PROY 16)",90,0,"P02100090022"
1916,"","",0,0,"","P",2,1311,"fin","PLACA DE DESGASTE CG-26  (PROY 16)",90,0,"P02100090023"
1917,"","",0,0,"","P",2,1312,"fin","PLACA DE DESGASTE CG-27  (PROY 16)",90,0,"P02100090024"
1918,"","",0,0,"","P",2,1313,"fin","PLACA DE DESGASTE CG-28  (PROY 16)",90,0,"P02100090025"
1919,"","",0,0,"","P",2,1314,"fin","PLACA DE DESGASTE CG-29  (PROY 16)",90,0,"P02100090026"
1920,"","",0,0,"","P",2,1315,"fin","PLACA DE DESGASTE CG-30  (PROY 16)",90,0,"P02100090027"
1921,"","",0,0,"","P",2,1316,"fin","PLACA DE DESGASTE CG-31  (PROY 16)",90,0,"P02100090028"
1922,"","",0,0,"","P",2,1317,"fin","PLACA DE DESGASTE CG-32  (PROY 16)",90,0,"P02100090029"
1923,"","",0,0,"","P",2,1318,"fin","PLACA DE DESGASTE CG-33  (PROY 16)",90,0,"P02100090030"
